日期,天气状况,气温
2019年01月01日,多云/晴,6℃/0℃
2019年01月02日,多云/多云,6℃/2℃
2019年01月03日,多云/小雨,9℃/4℃
2019年01月04日,小雨/小雨,9℃/6℃
2019年01月05日,小雨/小雨,9℃/6℃
2019年01月06日,阴/多云,6℃/4℃
2019年01月07日,小雨/多云,7℃/5℃
2019年01月08日,阴/阴,6℃/4℃
2019年01月09日,雨夹雪/小雨,5℃/2℃
2019年01月10日,小雨/小雨,6℃/4℃
2019年01月11日,小雨/小雨,7℃/4℃
2019年01月12日,多云/多云,7℃/3℃
2019年01月13日,多云/晴,7℃/3℃
2019年01月14日,多云/小雨,9℃/4℃
2019年01月15日,小雨/多云,7℃/0℃
2019年01月16日,多云/晴,4℃/-2℃
2019年01月17日,晴/晴,7℃/0℃
2019年01月18日,晴/多云,10℃/3℃
2019年01月19日,多云/小雨,9℃/4℃
2019年01月20日,晴/晴,8℃/-1℃
2019年01月21日,晴/晴,7℃/0℃
2019年01月22日,晴/晴,10℃/0℃
2019年01月23日,晴/晴,12℃/3℃
2019年01月24日,晴/晴,12℃/3℃
2019年01月25日,多云/多云,10℃/0℃
2019年01月26日,多云/晴,5℃/0℃
2019年01月27日,晴/多云,9℃/0℃
2019年01月28日,多云/多云,9℃/5℃
2019年01月29日,多云/多云,9℃/5℃
2019年01月30日,小雨/小雨,10℃/5℃
2019年01月31日,小雨/晴,5℃/0℃
2019年02月01日,晴/晴,8℃/1℃
2019年02月02日,多云/小雨,14℃/5℃
2019年02月03日,小雨/晴,10℃/4℃
2019年02月04日,晴/多云,11℃/3℃
2019年02月05日,多云/晴,13℃/6℃
2019年02月06日,多云/小雨,17℃/7℃
2019年02月07日,小雨/雨夹雪,8℃/1℃
2019年02月08日,雨夹雪/雨夹雪,5℃/0℃
2019年02月09日,阴/多云,4℃/0℃
2019年02月10日,雨夹雪/雨夹雪,3℃/0℃
2019年02月11日,多云/阴,6℃/2℃
2019年02月12日,中雨/小雨,7℃/3℃
2019年02月13日,小雨/中雨,7℃/3℃
2019年02月14日,小雨/小雨,7℃/5℃
2019年02月15日,小雨/小雨,6℃/4℃
2019年02月16日,多云/多云,6℃/2℃
2019年02月17日,阴/小雨,8℃/4℃
2019年02月18日,小雨/小雨,6℃/4℃
2019年02月19日,阴/小雨,9℃/5℃
2019年02月20日,小雨/小雨,7℃/5℃
2019年02月21日,小雨/中雨,8℃/4℃
2019年02月22日,小雨/多云,6℃/2℃
2019年02月23日,多云/多云,10℃/3℃
2019年02月24日,多云/多云,11℃/2℃
2019年02月25日,晴/多云,13℃/4℃
2019年02月26日,小雨/小雨,12℃/6℃
2019年02月27日,小雨/阴,9℃/5℃
2019年02月28日,阴/阴,11℃/5℃
2019年03月01日,小雨/小雨,12℃/8℃
2019年03月02日,小雨/小雨,9℃/6℃
2019年03月03日,阴/多云,10℃/6℃
2019年03月04日,阴/阴,10℃/4℃
2019年03月05日,小雨/小雨,10℃/9℃
2019年03月06日,多云/多云,14℃/6℃
2019年03月07日,多云/多云,11℃/2℃
2019年03月08日,多云/阴,13℃/6℃
2019年03月09日,小雨/晴,13℃/7℃
2019年03月10日,多云/多云,13℃/5℃
2019年03月11日,晴/多云,17℃/6℃
2019年03月12日,多云/多云,18℃/4℃
2019年03月13日,多云/小雨,16℃/7℃
2019年03月14日,多云/阴,14℃/8℃
2019年03月15日,晴/多云,19℃/6℃
2019年03月16日,晴/多云,19℃/9℃
2019年03月17日,阴/小雨,21℃/12℃
2019年03月18日,阴/阴,15℃/7℃
2019年03月19日,多云/小雨,20℃/13℃
2019年03月20日,小雨/多云,26℃/15℃
2019年03月21日,小雨/小雨,16℃/7℃
2019年03月22日,多云/多云,12℃/7℃
2019年03月23日,多云/晴,16℃/6℃
2019年03月24日,多云/小雨,15℃/9℃
2019年03月25日,小雨/晴,15℃/8℃
2019年03月26日,多云/多云,21℃/11℃
2019年03月27日,小雨/小雨,20℃/13℃
2019年03月28日,小雨/阴,19℃/12℃
2019年03月29日,多云/晴,20℃/12℃
2019年03月30日,晴/多云,19℃/10℃
2019年03月31日,多云/晴,15℃/7℃
2019年04月01日,晴/阴,17℃/8℃
2019年04月02日,阴/阴,17℃/11℃
2019年04月03日,多云/多云,19℃/10℃
2019年04月04日,多云/小雨,17℃/12℃
2019年04月05日,多云/晴,23℃/13℃
2019年04月06日,多云/晴,26℃/15℃
2019年04月07日,晴/晴,29℃/16℃
2019年04月08日,晴/小雨,27℃/18℃
2019年04月09日,中雨/小雨,28℃/11℃
2019年04月10日,多云/小雨,13℃/10℃
2019年04月11日,多云/晴,14℃/8℃
2019年04月12日,晴/晴,19℃/11℃
2019年04月13日,多云/多云,21℃/12℃
2019年04月14日,阴/晴,20℃/9℃
2019年04月15日,晴/阴,19℃/12℃
2019年04月16日,小雨/多云,18℃/13℃
2019年04月17日,晴/晴,25℃/15℃
2019年04月18日,多云/晴,30℃/17℃
2019年04月19日,多云/多云,22℃/17℃
2019年04月20日,阴/小雨,26℃/18℃
2019年04月21日,小雨/中雨,24℃/19℃
2019年04月22日,小雨/小雨,21℃/17℃
2019年04月23日,多云/小雨,26℃/20℃
2019年04月24日,小雨/阴,24℃/19℃
2019年04月25日,多云/多云,25℃/13℃
2019年04月26日,多云/多云,16℃/10℃
2019年04月27日,多云/小雨,19℃/13℃
2019年04月28日,多云/小雨,20℃/14℃
2019年04月29日,中雨/小雨,18℃/15℃
2019年04月30日,小雨/多云,19℃/14℃
2019年05月01日,多云/晴,23℃/12℃
2019年05月02日,多云/晴,24℃/11℃
2019年05月03日,晴/多云,26℃/14℃
2019年05月04日,晴/晴,26℃/15℃
2019年05月05日,多云/阴,25℃/16℃
2019年05月06日,多云/多云,18℃/11℃
2019年05月07日,多云/阴,19℃/14℃
2019年05月08日,阴/多云,19℃/13℃
2019年05月09日,晴/多云,25℃/15℃
2019年05月10日,多云/晴,27℃/17℃
2019年05月11日,晴/晴,30℃/18℃
2019年05月12日,多云/阴,29℃/20℃
2019年05月13日,小雨/多云,23℃/16℃
2019年05月14日,多云/中雨,27℃/18℃
2019年05月15日,小雨/小雨,22℃/19℃
2019年05月16日,小雨/阴,24℃/20℃
2019年05月17日,小雨/多云,25℃/21℃
2019年05月18日,阴/阴,27℃/16℃
2019年05月19日,多云/多云,26℃/19℃
2019年05月20日,晴/晴,25℃/15℃
2019年05月21日,晴/晴,27℃/18℃
2019年05月22日,晴/晴,30℃/19℃
2019年05月23日,晴/晴,33℃/20℃
2019年05月24日,多云/多云,35℃/21℃
2019年05月25日,小雨/大雨,30℃/22℃
2019年05月26日,中雨/中雨,24℃/22℃
2019年05月27日,阴/多云,29℃/18℃
2019年05月28日,晴/晴,26℃/17℃
2019年05月29日,多云/多云,26℃/19℃
2019年05月30日,小雨/小雨,25℃/20℃
2019年05月31日,多云/多云,26℃/18℃
2019年06月01日,多云/多云,25℃/19℃
2019年06月02日,多云/多云,28℃/20℃
2019年06月03日,晴/晴,30℃/20℃
2019年06月04日,晴/晴,33℃/22℃
2019年06月05日,多云/小雨,34℃/24℃
2019年06月06日,雷阵雨/多云,32℃/22℃
2019年06月07日,晴/多云,28℃/20℃
2019年06月08日,晴/多云,30℃/22℃
2019年06月09日,多云/晴,31℃/22℃
2019年06月10日,晴/多云,29℃/18℃
2019年06月11日,晴/阴,28℃/19℃
2019年06月12日,多云/多云,26℃/21℃
2019年06月13日,小雨/小雨,24℃/18℃
2019年06月14日,晴/晴,27℃/18℃
2019年06月15日,多云/多云,31℃/23℃
2019年06月16日,多云/多云,31℃/25℃
2019年06月17日,多云/中雨,31℃/22℃
2019年06月18日,中雨/阴,25℃/22℃
2019年06月19日,阴/阴,26℃/23℃
2019年06月20日,小雨/大雨,25℃/22℃
2019年06月21日,阴/阴,26℃/21℃
2019年06月22日,多云/多云,28℃/19℃
2019年06月23日,晴/多云,27℃/20℃
2019年06月24日,多云/多云,27℃/21℃
2019年06月25日,中雨/中雨,25℃/21℃
2019年06月26日,小雨/多云,27℃/22℃
2019年06月27日,多云/多云,29℃/24℃
2019年06月28日,多云/多云,34℃/27℃
2019年06月29日,中雨/小雨,30℃/26℃
2019年06月30日,小雨/阴,29℃/23℃
2019年07月01日,小雨/多云,28℃/23℃
2019年07月02日,小雨/中雨,25℃/23℃
2019年07月03日,多云/多云,29℃/22℃
2019年07月04日,阴/阴,28℃/23℃
2019年07月05日,晴/晴,28℃/22℃
2019年07月06日,小雨/小雨,30℃/24℃
2019年07月07日,多云/多云,31℃/24℃
2019年07月08日,阴/小雨,31℃/22℃
2019年07月09日,小雨/小雨,24℃/22℃
2019年07月10日,小雨/多云,26℃/22℃
2019年07月11日,阴/阴,29℃/24℃
2019年07月12日,中雨/暴雨,26℃/22℃
2019年07月13日,小雨/多云,24℃/22℃
2019年07月14日,多云/多云,30℃/22℃
2019年07月15日,多云/多云,31℃/23℃
2019年07月16日,小雨/中雨,28℃/25℃
2019年07月17日,小雨/阴,31℃/26℃
2019年07月18日,小雨/小雨,31℃/26℃
2019年07月19日,小雨/多云,30℃/26℃
2019年07月20日,多云/多云,32℃/26℃
2019年07月21日,多云/晴,34℃/27℃
2019年07月22日,多云/多云,35℃/28℃
2019年07月23日,多云/多云,35℃/29℃
2019年07月24日,多云/阴,37℃/29℃
2019年07月25日,晴/晴,37℃/30℃
2019年07月26日,多云/多云,36℃/29℃
2019年07月27日,多云/多云,35℃/29℃
2019年07月28日,晴/晴,36℃/29℃
2019年07月29日,晴/晴,37℃/30℃
2019年07月30日,多云/晴,39℃/30℃
2019年07月31日,晴/晴,37℃/29℃
2019年08月01日,晴/多云,36℃/28℃
2019年08月02日,多云/晴,34℃/27℃
2019年08月03日,晴/多云,33℃/27℃
2019年08月04日,中雨/小雨,30℃/27℃
2019年08月05日,多云/晴,33℃/27℃
2019年08月06日,多云/晴,33℃/26℃
2019年08月07日,多云/多云,33℃/28℃
2019年08月08日,小雨/晴,33℃/28℃
2019年08月09日,雷阵雨/暴雨,30℃/27℃
2019年08月10日,暴雨/大雨,28℃/26℃
2019年08月11日,阴/多云,31℃/27℃
2019年08月12日,多云/晴,32℃/25℃
2019年08月13日,晴/多云,33℃/26℃
2019年08月14日,多云/多云,34℃/26℃
2019年08月15日,晴/晴,32℃/25℃
2019年08月16日,多云/晴,34℃/26℃
2019年08月17日,晴/多云,35℃/26℃
2019年08月18日,雷阵雨/小雨,31℃/24℃
2019年08月19日,晴/晴,31℃/24℃
2019年08月20日,晴/晴,32℃/25℃
2019年08月21日,晴/晴,32℃/25℃
2019年08月22日,晴/多云,32℃/26℃
2019年08月23日,多云/小雨,33℃/26℃
2019年08月24日,小雨/小雨,31℃/28℃
2019年08月25日,小雨/多云,32℃/28℃
2019年08月26日,多云/多云,35℃/29℃
2019年08月27日,多云/多云,36℃/29℃
2019年08月28日,小雨/小雨,31℃/23℃
2019年08月29日,小雨/晴,25℃/22℃
2019年08月30日,多云/多云,29℃/22℃
2019年08月31日,多云/阵雨,29℃/22℃
2019年09月01日,大到暴雨/中到大雨,23℃/19℃
2019年09月02日,中雨/大雨,24℃/23℃
2019年09月03日,中雨/中雨,24℃/22℃
2019年09月04日,雷阵雨/小雨,28℃/24℃
2019年09月05日,中雨/中雨,29℃/24℃
2019年09月06日,雷阵雨/雷阵雨,28℃/24℃
2019年09月07日,晴/晴,30℃/21℃
2019年09月08日,晴/晴,31℃/23℃
2019年09月09日,多云/多云,29℃/23℃
2019年09月10日,多云/晴,32℃/25℃
2019年09月11日,多云/多云,32℃/24℃
2019年09月12日,晴/晴,32℃/22℃
2019年09月13日,多云/晴,30℃/23℃
2019年09月14日,多云/多云,31℃/24℃
2019年09月15日,小雨/多云,29℃/22℃
2019年09月16日,晴/晴,29℃/22℃
2019年09月17日,晴/晴,28℃/21℃
2019年09月18日,晴/晴,29℃/20℃
2019年09月19日,多云/多云,26℃/19℃
2019年09月20日,多云/多云,26℃/21℃
2019年09月21日,阵雨/多云,25℃/21℃
2019年09月22日,小雨/晴,26℃/19℃
2019年09月23日,晴/晴,27℃/18℃
2019年09月24日,晴/多云,27℃/17℃
2019年09月25日,多云/多云,28℃/19℃
2019年09月26日,多云/多云,27℃/19℃
2019年09月27日,多云/多云,27℃/19℃
2019年09月28日,多云/多云,28℃/20℃
2019年09月29日,多云/多云,28℃/20℃
2019年09月30日,多云/多云,28℃/23℃
2019年10月01日,中雨/中雨,25℃/22℃
2019年10月02日,阵雨/多云,27℃/22℃
2019年10月03日,多云/晴,30℃/23℃
2019年10月04日,晴/多云,32℃/20℃
2019年10月05日,小雨/多云,24℃/18℃
2019年10月06日,阴/阴,24℃/18℃
2019年10月07日,阴/多云,23℃/18℃
2019年10月08日,阴/多云,20℃/16℃
2019年10月09日,多云/晴,23℃/17℃
2019年10月10日,多云/多云,27℃/20℃
2019年10月11日,阴/多云,25℃/21℃
2019年10月12日,多云/多云,24℃/19℃
2019年10月13日,多云/多云,25℃/17℃
2019年10月14日,小雨/多云,23℃/15℃
2019年10月15日,多云/多云,20℃/13℃
2019年10月16日,多云/小雨,20℃/16℃
2019年10月17日,多云/多云,22℃/16℃
2019年10月18日,多云/晴,23℃/15℃
2019年10月19日,晴/晴,23℃/13℃
2019年10月20日,晴/多云,24℃/14℃
2019年10月21日,晴/多云,23℃/14℃
2019年10月22日,多云/阴,23℃/16℃
2019年10月23日,多云/多云,22℃/15℃
2019年10月24日,晴/多云,25℃/15℃
2019年10月25日,多云/多云,23℃/16℃
2019年10月26日,阴/多云,19℃/12℃
2019年10月27日,阴/多云,18℃/11℃
2019年10月28日,多云/晴,21℃/12℃
2019年10月29日,晴/晴,22℃/12℃
2019年10月30日,晴/晴,22℃/11℃
2019年10月31日,晴/晴,25℃/13℃
2019年11月01日,多云/多云,24℃/14℃
2019年11月02日,多云/多云,24℃/17℃
2019年11月03日,多云/多云,22℃/14℃
2019年11月04日,多云/多云,22℃/12℃
2019年11月05日,晴/晴,21℃/12℃
2019年11月06日,多云/阴,20℃/14℃
2019年11月07日,阴/多云,20℃/13℃
2019年11月08日,晴/晴,19℃/10℃
2019年11月09日,晴/多云,17℃/7℃
2019年11月10日,多云/多云,21℃/10℃
2019年11月11日,多云/多云,22℃/11℃
2019年11月12日,阴/小雨,20℃/16℃
2019年11月13日,多云/晴,21℃/9℃
2019年11月14日,晴/多云,18℃/10℃
2019年11月15日,晴/晴,21℃/12℃
2019年11月16日,晴/多云,24℃/16℃
2019年11月17日,小雨/小雨,24℃/11℃
2019年11月18日,小雨/多云,11℃/5℃
2019年11月19日,晴/晴,13℃/5℃
2019年11月20日,晴/多云,15℃/11℃
2019年11月21日,多云/晴,16℃/11℃
2019年11月22日,晴/多云,21℃/16℃
2019年11月23日,阴/多云,23℃/16℃
2019年11月24日,小雨/小雨,20℃/8℃
2019年11月25日,小雨/阴,10℃/6℃
2019年11月26日,阴/小雨,12℃/8℃
2019年11月27日,小雨/小雨,9℃/7℃
2019年11月28日,多云/多云,10℃/6℃
2019年11月29日,多云/多云,12℃/9℃
2019年11月30日,小雨/小雨,13℃/8℃
2019年12月01日,小雨/多云,9℃/4℃
2019年12月02日,多云/多云,9℃/0℃
2019年12月03日,多云/多云,10℃/3℃
2019年12月04日,多云/多云,12℃/3℃
2019年12月05日,多云/多云,13℃/6℃
2019年12月06日,晴/晴,9℃/0℃
2019年12月07日,晴/晴,11℃/3℃
2019年12月08日,晴/晴,11℃/3℃
2019年12月09日,多云/晴,15℃/5℃
2019年12月10日,晴/晴,16℃/5℃
2019年12月11日,晴/晴,15℃/5℃
2019年12月12日,晴/晴,14℃/6℃
2019年12月13日,晴/晴,16℃/7℃
2019年12月14日,多云/晴,16℃/9℃
2019年12月15日,多云/多云,16℃/11℃
2019年12月16日,多云/小雨,21℃/13℃
2019年12月17日,小雨/小雨,13℃/8℃
2019年12月18日,小雨/小雨,9℃/5℃
2019年12月19日,阴/多云,7℃/3℃
2019年12月20日,阴/小雨,10℃/6℃
2019年12月21日,中雨/中雨,10℃/8℃
2019年12月22日,多云/多云,13℃/7℃
2019年12月23日,小雨/小雨,12℃/8℃
2019年12月24日,小雨/小雨,11℃/9℃
2019年12月25日,小雨/小雨,13℃/5℃
2019年12月26日,阴/多云,9℃/3℃
2019年12月27日,晴/多云,8℃/1℃
2019年12月28日,多云/小雨,11℃/7℃
2019年12月29日,多云/多云,12℃/5℃
2019年12月30日,晴/晴,13℃/0℃
2019年12月31日,晴/晴,4℃/0℃
