course_link,course_name,course_number,course_organization,course_price,course_status
//ke.qq.com/course/387931#term_id=100462528,【NEXT学院】Python从入门到实战·基础篇,10人购买,腾讯课堂NEXT学院,¥899.00,共33节
//ke.qq.com/course/251222#term_id=100462528,python自动化+Py全栈+爬虫+Ai=python全能工程师-挑战年薪30万,1016人购买,马哥教育,¥7280.00,随到随学
//ke.qq.com/course/466168#term_id=100462528,Python全栈开发/爬虫/人工智能/机器学习/数据分析【七期就业班】,29人购买,扣丁学堂,¥7280.00,共55节
//ke.qq.com/course/package/20421,Python全栈+爬虫套餐,15人购买,马哥教育,¥5680.00,
//ke.qq.com/course/412380#term_id=100462528,Python全栈开发/爬虫/人工智能/机器学习/数据分析【千锋教育】,103人购买,扣丁学堂,¥7280.00,随到随学
//ke.qq.com/course/384790#term_id=100458711,【NEXT学院】Python从入门到实战·完整篇,35人购买,腾讯课堂NEXT学院,¥2799.00,共81节
//ke.qq.com/course/296564#term_id=100458711,年薪30万Python精英训练营-12天零基础入门到实战,26人购买,马哥教育,¥28.00,共12节
//ke.qq.com/course/459342#term_id=100458711,【NEXT特训班】Python训练营,187人购买,腾讯课堂NEXT学院,¥99.00,共10节
//ke.qq.com/course/package/20439,全栈+爬虫+数据+AI,81人购买,马哥教育,¥8800.00,
//ke.qq.com/course/324618#term_id=100458711,Python全栈开发/爬虫/人工智能/机器学习/数据分析【千锋四期】,102人购买,扣丁学堂,¥6800.00,共75节
//ke.qq.com/course/package/20422,Python数据分析AI套餐,12人购买,马哥教育,¥6280.00,
//ke.qq.com/course/211893#term_id=100458711,Python轻松入门到项目实战【动脑学院】,313人购买,动脑学院,¥6380.00,进度：36/36节
//ke.qq.com/course/378615#term_id=100458711,专为小白打造的Python七天速成集训营,3165人购买,马哥教育,¥198.00,共7节
//ke.qq.com/course/255929#term_id=100458711,python人工智能全栈开发一期【千锋教育】,122人购买,扣丁学堂,¥5800.00,进度：88/88节
//ke.qq.com/course/379701#term_id=100458711,Python爬虫+人工智能实战班,151人购买,软谋教育,¥6199.00,进度：37/37节
//ke.qq.com/course/278938#term_id=100458711,1元购Python深度突击班400元优惠券,25人购买,博为峰网校在线教育,¥1.00,共1节
//ke.qq.com/course/389547#term_id=100458711,【NEXT学院】Python从入门到实战·语音识别之热词唤醒,1855人购买,腾讯课堂NEXT学院,¥299.00,共6节
//ke.qq.com/course/383007#term_id=100458711,2019最新Python精品录播-Python基础视频教程,1381人购买,扣丁学堂,¥99.00,共16节
//ke.qq.com/course/297293#term_id=100458711,Python零基础入门精讲,1376人购买,学神IT教育,¥38.00,共14节
//ke.qq.com/course/455454#term_id=100544930,Python高薪VIP体验班【六星教育】,67人购买,六星教育,¥0.02,共7节
//ke.qq.com/course/274591#term_id=100544930,Python高级教程—机器学习和数据分析,11人购买,扣丁学堂,¥50.00,共9节
//ke.qq.com/course/455457#term_id=100544930,Python高薪爬虫体验班【六星教育】,101人购买,六星教育,¥199.00,共6节
//ke.qq.com/course/123918#term_id=100544930,Python 3 完全零基础入门精讲,765人购买,优特学院,¥199.00,共36节
//ke.qq.com/course/297444#term_id=100544930,Python数据挖掘算法,6人购买,数据咖学堂,¥199.00,共41节
//ke.qq.com/course/363018,Python网络爬虫系统项目实战课程【从零基础开始学习】_咕泡学院,201人购买,咕泡教育,¥299.00,共5节
//ke.qq.com/course/package/16125,Selenium 自动化测试,0人购买,优特学院,¥1599.00,
//ke.qq.com/course/171093,乾颐盾系列Python黑客技巧视频讲解,6人购买,乾颐堂网络培训,¥999.00,共20节
//ke.qq.com/course/package/18117,撩课-Python-玩转GUI,11人购买,撩课教育,¥200.00,
//ke.qq.com/course/340393,2019python学习必备-零基础Python快速入门教程,1286人购买,马哥教育,¥98.00,共7节
//ke.qq.com/course/430861,Python人工智能入门专题课|游戏破解/动态二维码/玩转微信/爬虫,71人购买,扣丁学堂,¥198.00,共9节
//ke.qq.com/course/package/20604,Python全栈+数据分析,11人购买,北京思无限科技有限责任公司,¥1298.00,
//ke.qq.com/course/package/21080,Python爬虫+数据分析高薪班,9人购买,青灯教育,¥3599.00,
//ke.qq.com/course/366127,最常用Python web框架Django入门与实践,136人购买,路飞学城,¥19.90,共58节
//ke.qq.com/course/468301#term_id=100563415,Python高薪VIP爬虫体验班【六星教育】,217人购买,六星教育,¥0.02,2020-2-29开讲
//ke.qq.com/course/394531#term_id=100563415,【NEXT公开课】初识Python编程,197人购买,腾讯课堂NEXT学院,¥0.02,进度：1/1节
//ke.qq.com/course/423416#term_id=100563415,AI 人工智能工程师【马士兵教育】,122人购买,马士兵老师,¥12190,进度：29/29节
//ke.qq.com/course/450052#term_id=100563415,【NEXT公开课】用Python玩转数据—Pandas库入门,97人购买,腾讯课堂NEXT学院,¥0.02,进度：1/2节
//ke.qq.com/course/package/9785,Python入门和面向对象,2人购买,联科教育,¥699.00,
//ke.qq.com/course/451472#term_id=100540081,python+AI VIP体验视频,86人购买,灵犀教育,¥1.00,共12节
//ke.qq.com/course/package/11907,Python基础语法,2人购买,联科教育,¥128.00,
//ke.qq.com/course/415376#term_id=100540081,【NEXT公开课】Python编写学生信息管理系统,263人购买,腾讯课堂NEXT学院,¥0.02,进度：2/2节
//ke.qq.com/course/453037#term_id=100540081,Flask框架从基础到高级智能租房项目实践,1人购买,博学谷,¥199.00,共29节
//ke.qq.com/course/package/12537,Python基础进阶实战,0人购买,联科教育,¥536.00,
//ke.qq.com/course/423493#term_id=100540081,Python从入门到高级,118人购买,鲁班学院,¥3980.00,进度：12/12节
//ke.qq.com/course/395289#term_id=100540081,【NEXT学院】Python从入门到实战·爬虫,7人购买,腾讯课堂NEXT学院,¥699.00,共29节
//ke.qq.com/course/382825#term_id=100540081,Python人工智能精选视频合集,103人购买,软谋教育,¥500.00,共8节
//ke.qq.com/course/392973#term_id=100540081,【NEXT学院】Python从入门到实战·进阶篇,2人购买,腾讯课堂NEXT学院,¥1999.00,共48节
//ke.qq.com/course/114576#term_id=100540081,Flask Python Web 网站开发,312人购买,优特学院,¥2298.00,共31节
//ke.qq.com/course/327088,python 高级开发,7人购买,博毅创为大学堂,¥1980.00,共13节
//ke.qq.com/course/292473,Python全栈+爬虫+AI人工智能-挑战年薪30万,0人购买,六星教育,¥6880.00,2020-2-29开讲
//ke.qq.com/course/284170,Python人工智能全栈开发二期【千锋教育】,52人购买,扣丁学堂,¥5800.00,共94节
//ke.qq.com/course/292462,Python基础到高级实战,1人购买,六星教育,¥1980.00,2020-2-29开讲
//ke.qq.com/course/392149,Python全栈开发职业培训（第七阶段）,0人购买,优效学院,¥2298.00,共11节
//ke.qq.com/course/332671,Python基础入门Python零基础入门到精通【咕泡VIP精品课程】,1355人购买,咕泡教育,¥9.90,共8节
//ke.qq.com/course/392137,Python全栈开发职业培训（第十一阶段）,0人购买,优效学院,¥2298.00,共10节
//ke.qq.com/course/package/14360,Python案例实战系列,0人购买,联科教育,¥998.00,
//ke.qq.com/course/392131,Python全栈开发职业培训（第六阶段）,0人购买,优效学院,¥2298.00,共5节
//ke.qq.com/course/321908,Python网络编程之经典网络协议,2人购买,乾颐堂网络培训,¥899.00,共4节
//ke.qq.com/course/392061,Python全栈开发职业培训（第十阶段）,0人购买,优效学院,¥2298.00,共6节
//ke.qq.com/course/249950,Python轻松玩转数据分析【动脑学院】,1人购买,动脑学院,¥1980.00,进度：6/45节
//ke.qq.com/course/392034,Python全栈开发职业培训（第八阶段）,0人购买,优效学院,¥2298.00,共11节
//ke.qq.com/course/161001,Python入门【Po学校】,20人购买,博匠教育,¥98.00,共12节
//ke.qq.com/course/392024,Python全栈开发职业培训（第四阶段）,0人购买,优效学院,¥2298.00,共8节
//ke.qq.com/course/package/23047,数据分析高薪就业班,1人购买,灵犀教育,¥2580.00,
//ke.qq.com/course/391968,Python全栈开发职业培训（第三阶段）,0人购买,优效学院,¥2298.00,共4节
//ke.qq.com/course/package/17946,前端基础×Python体系,0人购买,腾讯课堂NEXT学院,¥1988.00,
//ke.qq.com/course/391925,Python全栈开发职业培训（第二阶段）,0人购买,优效学院,¥2298.00,共6节
//ke.qq.com/course/421681,Python定量城市研究实战,115人购买,脉策数据,¥2598.00,共33节
//ke.qq.com/course/391903,Python全栈开发职业培训（第一阶段）,0人购买,优效学院,¥2298.00,共13节
//ke.qq.com/course/package/22289,Python爬虫高薪就业VIP班,5人购买,灵犀教育,¥1580.00,
//ke.qq.com/course/407833,web全栈开发班级,258人购买,逻辑教育,¥6880.00,开设3个班级
//ke.qq.com/course/317242,Python教程/Python数据库/Python基础入门-MySQL基础入门教程,151人购买,源码时代,¥0.02,共8节
//ke.qq.com/course/368283,与清华博士一起学习金融量化分析,10人购买,路飞学城,¥299.00,共69节
//ke.qq.com/course/416531,Python入门系列教程1—linux基础,27人购买,博学谷,¥1.00,共13节
//ke.qq.com/course/478459,Python入门+实战训练营,38人购买,誉天教育,¥9.90,进度：3/3节
//ke.qq.com/course/package/18311,Python入门到高级开发班,9人购买,青灯教育,¥1599.00,
//ke.qq.com/course/265330,周哥教IT.Python基础与AI方向,888人购买,周哥教IT,¥1.00,共22节
//ke.qq.com/course/389628,撩课-Python-GUI编程-PyQt5,27人购买,撩课教育,¥198.00,共71节
//ke.qq.com/course/405125,零基础7天快速入门Python,115人购买,博学谷,¥1.00,共25节
//ke.qq.com/course/package/19733,20小时通关Python全栈,1人购买,乐上轻至,¥169.00,
//ke.qq.com/course/377659,Python最佳实践,261人购买,知数堂,¥1.00,共1节
//ke.qq.com/course/package/23515,Python全栈开发,0人购买,六星云课堂,¥7880.00,
//ke.qq.com/course/405353,Python爬虫开发从入门到实战,329人购买,青灯教育,¥1999.00,进度：6/9节
//ke.qq.com/course/package/18015,爬虫数据分析,27人购买,逻辑教育,¥2880.00,
//ke.qq.com/course/435403,Python基础编程-Python小白到大神的必经之路,115人购买,缔凡教育,¥980.00,开设3个班级
//ke.qq.com/course/398321,Python大数据全栈工程师【马士兵教育】,1070人购买,马士兵老师,¥12180,进度：88/115节
//ke.qq.com/course/package/21934,Python从入门到爬虫（实战）,3人购买,码上教育,¥69.00,
//ke.qq.com/course/package/19482,Python全栈/爬虫/算法,0人购买,达亚学院,¥6880.00,
//ke.qq.com/course/408967,odoo12零基础二次开发必备精讲课,12人购买,昌锐金剑学院,¥518.00,共16节
//ke.qq.com/course/437961,人工智能的前世今生【东方瑞通私播课】,0人购买,东方瑞通 终身学习,¥9.90,共1节
//ke.qq.com/course/276747#term_id=100327436,跟着王进老师学开发Python篇第一季：基础入门篇,32人购买,联科教育,¥1.00,共13节
//ke.qq.com/course/432836#term_id=100327436,Python基础编程实战VIP班,116人购买,灵犀教育,¥1299.00,共25节
//ke.qq.com/course/356543#term_id=100327436,极客营-Python网络爬虫原理,23人购买,极客教育,¥10.00,共7节
//ke.qq.com/course/471289#term_id=100327436,Python编程环境搭建和Pycharm开发工具使用,6人购买,充电了么,¥1.00,共3节
//ke.qq.com/course/385048#term_id=100327436,Python Selenium 3 Web 自动化测试开发实践,26人购买,优特学院,¥1298.00,共20节
//ke.qq.com/course/478520#term_id=100327436,一小时实现小程序留言板,55人购买,知数堂,¥0.02,进度：1/1节
//ke.qq.com/course/449564,Python全栈高薪VIP体验班【缔凡教育】,25人购买,缔凡教育,¥9.90,进度：4/4节
//ke.qq.com/course/458568,python3.7零基础入门到精通（一）持续更新,15人购买,尚文网络IT教育,¥25.00,共20节
//ke.qq.com/course/317249,Python教程/Python基础/Python入门/Python数据库-Redis基础入门,115人购买,源码时代,¥1.00,共18节
//ke.qq.com/course/422248,Python爬虫实战体验课,116人购买,达亚学院,¥1.00,共2节
//ke.qq.com/course/418037,深度学习之实战TensorFlow入门(收费）,11人购买,魏俊,¥58.00,共12节
//ke.qq.com/course/416547,Python入门系列教程3-面向对象,29人购买,博学谷,¥1.00,共12节
//ke.qq.com/course/417500,Python零基础快速入门班（计算机等级考试二级Python教程）,203人购买,青灯教育,¥298.00,共12节
//ke.qq.com/course/475100,大数据人工智能Python文本分类机器学习算法,1人购买,充电了么,¥6.00,共1节
//ke.qq.com/course/416562,Python入门系列教程4-项目实战,22人购买,博学谷,¥1.00,共11节
//ke.qq.com/course/408784,零基础编程Python+pycharm到精通,85人购买,潮享教育,¥39.98,共12节
//ke.qq.com/course/416652,Python入门系列教程2-python基础,26人购买,博学谷,¥1.00,共31节
//ke.qq.com/course/477780,Python原生开发持续集成框架,0人购买,蜗牛学院,¥9.00,共1节
//ke.qq.com/course/418998,【进阶】揭秘全套R语言与GGPLOT可视化精髓 玩转可视化数据分析,0人购买,职坐标,¥5000.00,共33节
//ke.qq.com/course/262449,Python入门及爬虫项目,18人购买,若泽数据,¥9.90,共3节
//ke.qq.com/course/413487,Python面向对象与模块化,530人购买,乐上轻至,¥9.00,共4节
//ke.qq.com/course/417803,40天完成商业级Storm分布式流式计算框架Spark开源集群计算系统,1人购买,职坐标,¥5000.00,共13节
//ke.qq.com/course/405610,第一行Python代码,735人购买,乐上轻至,¥1.00,共4节
//ke.qq.com/course/417752,【入门】从入门到实践搞定Python语法的学习，制作自己的聊天工具,2人购买,职坐标,¥5000.00,共9节
//ke.qq.com/course/347598,"MT4,MT5,Python智能交易编程赵老师探索答疑",111人购买,智德金智能交易学院,¥1.00,进度：60/60节
//ke.qq.com/course/417142,"【新手】新手从入门到实践一步搞定,快速上手python web开发工作",0人购买,职坐标,¥5000.00,共9节
//ke.qq.com/course/430061,【松松课堂】Python编程-宇宙激战,1人购买,骏茂教育,¥6.00,随到随学
//ke.qq.com/course/414917,【资深】2个月掌握django精髓，玩转python web开发,0人购买,职坐标,¥5000.00,共9节
//ke.qq.com/course/468601,Python Web开发动手练习项目V2.0 学生管理系统,2人购买,联科教育,¥9.90,共6节
//ke.qq.com/course/394011,【松松课堂】Python编程基础,11人购买,骏茂教育,¥6.00,随到随学
//ke.qq.com/course/414913,"【资深】2个月掌握urllib,requests等技术精髓,爬取想要的东西",0人购买,职坐标,¥5000.00,共19节
//ke.qq.com/course/465403,Python Web开发动手练习项目V1.0 学生管理系统,1人购买,联科教育,¥9.90,共5节
//ke.qq.com/course/427359,【松松课堂】Python高级编程,5人购买,骏茂教育,¥6.00,随到随学
//ke.qq.com/course/package/17363,Python全栈课程,56人购买,达亚学院,¥7380.00,
//ke.qq.com/course/446861,机器学习之Python编程,111人购买,宏福学校,¥18.80,共17节
//ke.qq.com/course/package/21069,python零基础到爬虫,0人购买,达亚学院,¥2000.00,
//ke.qq.com/course/package/22422,零基础学Python系列课程,21人购买,新梦想软件测试培训基地,¥28.90,
//ke.qq.com/course/package/16318,Python基础与实战,2人购买,李宁,¥368.00,
//ke.qq.com/course/404880,Python高级开发,118人购买,青灯教育,¥1199.00,开设2个班级
//ke.qq.com/course/463835,零基础学Python（上）,78人购买,新梦想软件测试培训基地,¥9.90,共12节
//ke.qq.com/course/388383,Flask Python Web 网站后台开发,2人购买,优特学院,¥1980.00,共43节
//ke.qq.com/course/426269,PYTHON-mysql数据库（二）,11人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/package/21169,Python爬虫工程师高薪就业班,7人购买,青灯教育,¥3796.00,
//ke.qq.com/course/425705,PYTHON并发编程（三）,6人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/343375,Python 精萃 -- 高级篇,10人购买,尚波,¥5.99,共18节
//ke.qq.com/course/431827,PYTHON-mysql数据库（五）,7人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/package/20279,Python高并发编程,1人购买,云知梦,¥58.00,
//ke.qq.com/course/426271,PYTHON-mysql数据库（三）,11人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/387593,MySQL Python 数据库管理,5人购买,优特学院,¥388.00,共30节
//ke.qq.com/course/425688,PYTHON并发编程（二）,16人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/362040,LeetCode 百题斩(13~16),50人购买,解惑者学院,¥0.02,共5节
//ke.qq.com/course/425680,PYTHON并发编程（一）,11人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/369044,Python3 零基础到实战开发 工具篇,66人购买,EASON,¥1.00,共5节
//ke.qq.com/course/363619,github入门与开发,51人购买,路飞学城,¥1.00,共27节
//ke.qq.com/course/package/18285,Python入门到爬虫进阶,2人购买,日月光华,¥198.00,
//ke.qq.com/course/364331,Windows下双版本Python环境安装,97人购买,路飞学城,¥0.10,共1节
//ke.qq.com/course/337404,人工智能之高等数学基础-AI入门课程,12人购买,万和IT教育,¥9.90,共6节
//ke.qq.com/course/425654,基础+模块+面向对象+网络编程 九,3人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/259720,Python爬虫Scrapy框架项目实战-万和IT教育,7人购买,万和IT教育,¥99.90,共10节
//ke.qq.com/course/425458,基础+模块+面向对象+网络编程 三,2人购买,路飞学城,¥1.00,共2节
//ke.qq.com/course/package/17309,Python小白到大牛全集,0人购买,智捷课堂,¥829.00,
//ke.qq.com/course/425404,基础+模块+面向对象+网络编程（一）,2人购买,路飞学城,¥1.00,共1节
//ke.qq.com/course/468091,零基础学Python（下）,29人购买,新梦想软件测试培训基地,¥9.90,共13节
//ke.qq.com/course/package/18916,Python全栈工程师+AI,2人购买,誉天教育,¥7999.00,
//ke.qq.com/course/466232,零基础学Python（中）,10人购买,新梦想软件测试培训基地,¥9.90,共13节
//ke.qq.com/course/378748,做项目学习Django2.0开发,76人购买,广州可锐尤软件科技有限责任公司,¥1.00,共5节
//ke.qq.com/course/436607,Python爬虫实战VIP班【灵犀教育】,135人购买,灵犀教育,¥1288.00,共12节
//ke.qq.com/course/300245,1小时掌握Python图像处理三大技巧,287人购买,数锐科技,¥19.90,共1节
//ke.qq.com/course/298600,人工智能+Python全栈开发工程师｜VIP就业班-零基础/6个月,1人购买,职坐标,¥18800,进度：16/38节
//ke.qq.com/course/package/18245,撩课-Python-玩转爬虫,1人购买,撩课教育,¥219.00,
//ke.qq.com/course/414446,Python爬虫课程,76人购买,逻辑教育,¥1980.00,开设3个班级
//ke.qq.com/course/432117,Scrapy爬虫框架,125人购买,乐上轻至,¥69.00,共4节
//ke.qq.com/course/340489,Python 精萃 -- 基础篇,23人购买,尚波,¥0.99,共18节
//ke.qq.com/course/383855,Python基础到高级实战,782人购买,六星云课堂,¥1980.00,进度：3/10节
//ke.qq.com/course/317719,LeetCode 百题斩(4~6),77人购买,解惑者学院,¥0.02,共4节
//ke.qq.com/course/389721,撩课-12306抢票-实战项目-概述,26人购买,撩课教育,¥10.00,共7节
//ke.qq.com/course/366511,【全民编程】Python全栈课程之Python基础入门,29人购买,夏正东,¥9.00,共47节
